symbol,description,base_currency,quote_currency,min_lot,max_lot,lot_step,spread,digits,point,tick_value,contract_size,margin_initial,margin_maintenance
AAPLm,Apple Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
ABBVm,AbbVie Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
ABTm,Abbott Laboratories,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
ADBEm,Adobe Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
ADPm,"Automatic Data Processing, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
AMDm,"Advanced Micro Devices, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
AMGNm,Amgen Inc.,USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
AMTm,American Tower Corporation (REIT),USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
AMZNm,"Amazon.com, Inc.",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
ATVIm,"Activision Blizzard, Inc",USD,USD,0.01,10.0,0.01,0,2,0.01,1.0,100.0,0.0,0.0
AUDCADm,Australian Dollar vs Canadian Dollar,AUD,CAD,0.01,200.0,0.01,0,5,1e-05,0.7268921001366558,100000.0,0.0,0.0
AUDCHFm,Australian Dollar vs Swiss Franc,AUD,CHF,0.01,200.0,0.01,0,5,1e-05,1.238098775520311,100000.0,0.0,0.0
AUDDKKm,Australian Dollar vs Danish Krona,AUD,DKK,0.01,200.0,0.01,0,5,1e-05,0.15584820384945067,100000.0,100000.0,0.0
AUDJPYm,Australian Dollar vs Japanese Yen,AUD,JPY,0.01,200.0,0.01,0,3,0.001,0.6788221078784095,100000.0,0.0,0.0
AUDMXNm,Australian Dollar vs Mexican Peso,AUD,MXN,0.01,200.0,0.01,0,5,1e-05,0.053565048591533826,100000.0,100000.0,0.0
AUDNOKm,Australian Dollar vs Norwegian Krona,AUD,NOK,0.01,200.0,0.01,0,5,1e-05,0.09720241722971167,100000.0,100000.0,0.0
AUDNZDm,Australian Dollar vs New Zealand Dollar,AUD,NZD,0.01,200.0,0.01,0,5,1e-05,0.59463,100000.0,0.0,0.0
AUDPLNm,Australian Dollar vs Zloty,AUD,PLN,0.01,200.0,0.01,0,5,1e-05,0.27223848090927655,100000.0,100000.0,0.0
